po_item_id,po_id,product_id,ordered_quantity,purchase_unit_price
POI000664,PO00489,PROD041,84,63.37
POI000665,PO00490,PROD020,126,79.42
POI000666,PO00491,PROD004,166,75.78
POI000667,PO00491,PROD033,118,39.15
POI000668,PO00492,PROD040,58,90.02
POI000669,PO00493,PROD027,145,62.71
POI000670,PO00494,PROD038,205,62.39
POI000671,PO00494,PROD045,125,110.83
POI000672,PO00495,PROD043,180,93.08
POI000673,PO00496,PROD001,154,103.44
POI000674,PO00496,PROD016,120,35.24
POI000675,PO00497,PROD040,213,81.06
POI000676,PO00498,PROD043,164,86.36
POI000677,PO00498,PROD023,102,108.32
POI000678,PO00499,PROD007,154,101.9
POI000679,PO00500,PROD047,173,49.82
